City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,49.48,49,10,5.14,NZ,2021-09-15 01:17:48
1,Sinnamary,5.3833,-52.95,78.64,85,0,7.67,GF,2021-09-15 01:17:48
2,Albany,42.6001,-73.9662,72.73,81,100,7.11,US,2021-09-15 01:16:15
3,Puerto Ayora,-0.7393,-90.3518,67.55,93,26,4.0,EC,2021-09-15 01:17:48
4,Ambilobe,-13.2,49.05,68.79,73,26,4.5,MG,2021-09-15 01:17:49
5,Nouadhibou,20.931,-17.0347,76.98,69,2,19.57,MR,2021-09-15 01:17:49
6,Punta Arenas,-53.15,-70.9167,35.62,93,40,20.71,CL,2021-09-15 01:14:51
7,Richards Bay,-28.783,32.0377,70.05,84,50,15.79,ZA,2021-09-15 01:17:49
8,Fortuna,40.5982,-124.1573,87.48,71,1,1.99,US,2021-09-15 01:17:49
9,Kapaa,22.0752,-159.319,87.78,66,20,5.99,US,2021-09-15 01:17:50
10,Port Augusta,-32.5,137.7667,66.7,38,100,4.47,AU,2021-09-15 01:17:50
11,Cape Town,-33.9258,18.4232,53.11,76,20,5.75,ZA,2021-09-15 01:17:13
12,Filingue,14.3521,3.3168,83.39,53,100,9.26,NE,2021-09-15 01:17:50
13,Ushuaia,-54.8,-68.3,33.46,75,75,29.93,AR,2021-09-15 01:17:51
14,Hermanus,-34.4187,19.2345,52.9,63,100,7.7,ZA,2021-09-15 01:17:51
15,Cockburn Town,21.4612,-71.1419,83.1,76,28,11.32,TC,2021-09-15 01:17:51
16,Tuktoyaktuk,69.4541,-133.0374,48.2,66,20,8.05,CA,2021-09-15 01:17:52
17,Barrow,71.2906,-156.7887,39.22,87,75,9.22,US,2021-09-15 01:17:52
18,Meulaboh,4.1363,96.1285,77.83,80,100,3.02,ID,2021-09-15 01:17:52
19,Aksu,41.1231,80.2644,67.39,49,44,4.27,CN,2021-09-15 01:17:52
20,Port Elizabeth,-33.918,25.5701,56.1,94,75,19.57,ZA,2021-09-15 01:17:53
21,Rikitea,-23.1203,-134.9692,74.25,78,62,13.42,PF,2021-09-15 01:17:53
22,Ostrovnoy,68.0531,39.5131,40.06,83,41,11.92,RU,2021-09-15 01:17:53
23,Ribeira Grande,38.5167,-28.7,69.35,75,10,6.93,PT,2021-09-15 01:17:53
24,Shebalino,51.2917,85.6772,42.8,45,20,5.19,RU,2021-09-15 01:17:54
25,Gewane,10.1664,40.6453,80.1,54,14,2.89,ET,2021-09-15 01:17:54
26,Touros,-5.1989,-35.4608,77.9,83,1,14.0,BR,2021-09-15 01:16:53
27,Bluff,-46.6,168.3333,49.8,68,100,14.9,NZ,2021-09-15 01:17:54
28,Wanning,18.8003,110.3967,83.97,79,100,10.78,CN,2021-09-15 01:17:55
29,Nikolskoye,59.7035,30.7861,46.29,80,12,8.95,RU,2021-09-15 01:17:55
30,Atuona,-9.8,-139.0333,78.26,70,0,20.76,PF,2021-09-15 01:17:55
31,Merauke,-8.4667,140.3333,84.25,70,94,9.98,ID,2021-09-15 01:17:55
32,Tahta,26.7693,31.5021,83.7,30,0,6.91,EG,2021-09-15 01:17:56
33,Erzurum,40.0,41.5,38.88,68,0,2.33,TR,2021-09-15 01:17:56
34,Saldanha,-33.0117,17.9442,51.85,63,72,16.51,ZA,2021-09-15 01:17:56
35,Kamenka,51.3223,42.7678,57.9,58,100,9.71,RU,2021-09-15 01:17:57
36,Tiksi,71.6872,128.8694,39.92,94,100,8.25,RU,2021-09-15 01:17:57
37,Kieta,-6.2167,155.6333,77.77,88,100,6.02,PG,2021-09-15 01:17:57
38,Dwarka,22.2394,68.9678,80.47,92,100,13.38,IN,2021-09-15 01:17:57
39,Hithadhoo,-0.6,73.0833,83.66,72,11,11.79,MV,2021-09-15 01:17:58
40,Kaitangata,-46.2817,169.8464,51.12,48,6,5.35,NZ,2021-09-15 01:17:58
41,Bandarbeyla,9.4942,50.8122,78.76,73,93,19.44,SO,2021-09-15 01:17:58
42,San Patricio,28.017,-97.5169,87.91,63,100,9.82,US,2021-09-15 01:17:58
43,Bucerias,20.75,-105.3333,80.98,83,90,5.75,MX,2021-09-15 01:15:45
44,Cayenne,4.9333,-52.3333,83.08,81,0,3.0,GF,2021-09-15 01:17:26
45,Norman Wells,65.282,-126.8329,50.04,81,75,4.61,CA,2021-09-15 01:17:59
46,Moron,-34.6534,-58.6198,53.35,67,5,3.06,AR,2021-09-15 01:17:59
47,Vaini,-21.2,-175.2,80.76,83,40,6.91,TO,2021-09-15 01:17:59
48,Dalbandin,28.8947,64.4101,77.52,12,6,7.76,PK,2021-09-15 01:18:00
49,Iqaluit,63.7506,-68.5145,35.33,75,75,2.3,CA,2021-09-15 01:18:00
50,Dolinsk,47.35,142.8,60.66,57,0,5.12,RU,2021-09-15 01:18:00
51,Miles City,46.4083,-105.8406,72.57,35,1,3.44,US,2021-09-15 01:16:02
52,Sao Filipe,14.8961,-24.4956,79.34,85,100,4.47,CV,2021-09-15 01:18:01
53,Aplahoue,6.9333,1.6833,72.7,97,100,3.09,BJ,2021-09-15 01:18:01
54,Saint Anthony,45.0205,-93.218,67.93,58,1,3.0,US,2021-09-15 01:18:01
55,Dikson,73.5069,80.5464,39.76,92,19,17.49,RU,2021-09-15 01:18:01
56,Chingirlau,51.095,54.0814,58.28,37,6,9.15,KZ,2021-09-15 01:18:02
57,Qaanaaq,77.484,-69.3632,17.69,91,85,5.82,GL,2021-09-15 01:18:02
58,Alice,27.7523,-98.0697,87.39,63,1,4.61,US,2021-09-15 01:18:02
59,Gimli,50.6336,-96.9907,62.62,45,7,4.61,CA,2021-09-15 01:18:03
60,Tucuman,-26.8241,-65.2226,62.6,42,75,4.61,AR,2021-09-15 01:13:10
61,Hobart,-42.8794,147.3294,52.27,64,75,1.99,AU,2021-09-15 01:16:46
62,Aswan,24.0934,32.907,87.12,28,0,9.48,EG,2021-09-15 01:18:03
63,Chuy,-33.6971,-53.4616,48.72,78,0,10.04,UY,2021-09-15 01:18:03
64,Namibe,-15.1961,12.1522,59.85,86,11,2.64,AO,2021-09-15 01:18:04
65,Skjervoy,70.0311,20.9714,44.56,81,100,6.15,NO,2021-09-15 01:18:04
66,Praya,14.9215,-23.5087,79.34,83,20,11.5,CV,2021-09-15 01:18:04
67,La Ronge,55.1001,-105.2842,59.22,67,75,4.61,CA,2021-09-15 01:18:05
68,Airai,-8.9266,125.4092,74.37,42,69,4.88,TL,2021-09-15 01:18:05
69,Alikalia,9.1667,-11.4,69.55,100,100,1.5,SL,2021-09-15 01:18:05
70,Turayf,31.6725,38.6637,68.25,40,0,6.91,SA,2021-09-15 01:18:05
71,Arraial Do Cabo,-22.9661,-42.0278,72.7,89,20,22.62,BR,2021-09-15 01:18:06
72,Madanapalle,13.55,78.5,70.41,83,99,4.61,IN,2021-09-15 01:18:06
73,Medea,36.2642,2.7539,70.25,36,98,2.39,DZ,2021-09-15 01:18:06
74,Latung,5.5,120.8833,83.73,69,97,7.27,PH,2021-09-15 01:18:06
75,Saint-Philippe,-21.3585,55.7679,67.59,79,40,8.46,RE,2021-09-15 01:18:07
76,Butaritari,3.0707,172.7902,82.89,71,13,12.41,KI,2021-09-15 01:18:07
77,Jamestown,42.097,-79.2353,75.52,78,1,8.99,US,2021-09-15 01:18:07
78,Nabari,34.6167,136.0833,76.62,80,84,2.66,JP,2021-09-15 01:18:08
79,Mar Del Plata,-38.0023,-57.5575,42.82,87,0,2.3,AR,2021-09-15 01:18:08
80,Yulara,-25.2406,130.9889,76.84,15,0,4.61,AU,2021-09-15 01:18:08
81,Monrovia,6.3005,-10.7969,77.5,85,100,8.48,LR,2021-09-15 01:18:08
82,Salvador,13.8333,-88.9167,72.0,97,63,1.77,SV,2021-09-15 01:18:09
83,Atambua,-9.1061,124.8925,84.76,49,39,1.83,ID,2021-09-15 01:18:09
84,Busselton,-33.65,115.3333,62.04,70,96,13.49,AU,2021-09-15 01:18:09
85,Xining,36.6167,101.7667,49.84,90,100,4.43,CN,2021-09-15 01:18:10
86,Bambous Virieux,-20.3428,57.7575,67.21,94,20,6.91,MU,2021-09-15 01:18:10
87,Constitucion,-35.3333,-72.4167,48.09,76,0,11.65,CL,2021-09-15 01:18:10
88,Yellowknife,62.456,-114.3525,50.52,100,90,5.75,CA,2021-09-15 01:18:10
89,Carnarvon,-24.8667,113.6333,66.27,55,90,10.36,AU,2021-09-15 01:18:00
90,Nueva Concepcion,14.2,-91.3,81.75,88,69,2.44,GT,2021-09-15 01:18:11
91,Narsaq,60.9167,-46.05,37.62,63,11,4.18,GL,2021-09-15 01:18:11
92,Kavaratti,10.5669,72.642,81.25,80,100,19.86,IN,2021-09-15 01:18:11
93,El Vigia,8.6219,-71.6506,77.07,84,73,5.93,VE,2021-09-15 01:18:11
94,Teguise,29.0605,-13.564,70.02,78,0,5.75,ES,2021-09-15 01:18:12
95,Cangzhou,38.3167,116.8667,73.31,61,53,8.63,CN,2021-09-15 01:18:12
96,Kahului,20.8947,-156.47,84.22,65,40,14.97,US,2021-09-15 01:14:39
97,Vestmannaeyjar,63.4427,-20.2734,50.92,71,5,16.4,IS,2021-09-15 01:18:12
98,Cabo San Lucas,22.8909,-109.9124,87.62,76,20,1.01,MX,2021-09-15 01:18:13
99,Zaraza,9.3503,-65.3245,77.13,81,9,4.14,VE,2021-09-15 01:18:13
100,Castro,-24.7911,-50.0119,64.44,98,100,2.01,BR,2021-09-15 01:18:13
101,Churapcha,62.0025,132.4325,53.78,73,64,4.16,RU,2021-09-15 01:18:14
102,Aberdeen,57.1437,-2.0981,55.89,100,90,4.61,GB,2021-09-15 01:18:14
103,Tasiilaq,65.6145,-37.6368,39.36,69,100,3.06,GL,2021-09-15 01:18:14
104,Cidreira,-30.1811,-50.2056,61.43,88,100,13.91,BR,2021-09-15 01:18:14
105,Haines Junction,60.7522,-137.5108,51.75,50,100,8.05,CA,2021-09-15 01:18:15
106,Cherskiy,68.75,161.3,42.13,82,100,1.99,RU,2021-09-15 01:18:15
107,Tilichiki,60.4667,166.1,46.85,51,18,10.2,RU,2021-09-15 01:18:15
108,Thompson,55.7435,-97.8558,44.76,87,20,0.0,CA,2021-09-15 01:15:35
109,Katsuura,35.1333,140.3,77.04,86,100,11.65,JP,2021-09-15 01:18:15
110,Ryotsu,38.0833,138.4333,73.36,64,100,9.91,JP,2021-09-15 01:18:16
111,Ponta Do Sol,32.6667,-17.1,74.03,73,29,7.74,PT,2021-09-15 01:18:16
112,Charagua,-19.8,-63.2167,58.1,63,100,9.15,BO,2021-09-15 01:18:16
113,Hilo,19.7297,-155.09,83.93,69,1,6.91,US,2021-09-15 01:13:26
114,Linden,6.0,-58.3,73.54,94,1,2.28,GY,2021-09-15 01:15:36
115,Klaksvik,62.2266,-6.589,50.92,93,100,7.92,FO,2021-09-15 01:18:17
116,Salalah,17.0151,54.0924,80.69,89,75,3.44,OM,2021-09-15 01:18:17
117,Russell,32.3502,-85.1999,78.4,87,90,0.0,US,2021-09-15 01:18:17
118,Khatanga,71.9667,102.5,40.6,90,67,2.66,RU,2021-09-15 01:18:18
119,New Norfolk,-42.7826,147.0587,51.93,61,87,1.39,AU,2021-09-15 01:18:18
120,George Town,5.4112,100.3354,80.89,85,20,4.61,MY,2021-09-15 01:18:18
121,Bengkulu,-3.8004,102.2655,78.57,75,87,3.58,ID,2021-09-15 01:18:19
122,Saint-Vallier,46.6411,4.3711,64.98,96,100,2.89,FR,2021-09-15 01:18:19
123,Ancud,-41.8697,-73.8203,48.42,92,100,12.82,CL,2021-09-15 01:18:19
124,North Shore,-36.8,174.75,60.6,91,99,5.01,NZ,2021-09-15 01:18:19
125,Mahebourg,-20.4081,57.7,67.24,94,20,6.91,MU,2021-09-15 01:18:20
126,Talnakh,69.4865,88.3972,40.42,89,100,6.64,RU,2021-09-15 01:18:20
127,Kushiro,42.975,144.3747,61.75,55,20,3.44,JP,2021-09-15 01:18:21
128,Namatanai,-3.6667,152.4333,76.21,92,100,6.85,PG,2021-09-15 01:18:21
129,Arona,28.0996,-16.681,68.31,77,20,4.61,ES,2021-09-15 01:18:21
130,Tateyama,34.9833,139.8667,75.22,85,100,10.51,JP,2021-09-15 01:18:22
131,Luderitz,-26.6481,15.1594,51.73,74,0,14.81,NA,2021-09-15 01:18:22
132,Bogorodskoye,56.55,37.8833,45.57,77,100,14.54,RU,2021-09-15 01:18:22
133,Kiama,-34.6833,150.8667,59.0,71,81,14.36,AU,2021-09-15 01:18:22
134,Karratha,-20.7377,116.8463,74.79,29,8,9.95,AU,2021-09-15 01:18:23
135,Kruisfontein,-34.0033,24.7314,53.89,83,99,12.41,ZA,2021-09-15 01:18:23
136,Moroni,-11.7022,43.2551,75.29,81,98,4.27,KM,2021-09-15 01:16:18
137,Maceio,-9.6658,-35.7353,76.44,94,0,2.3,BR,2021-09-15 01:18:23
138,San Andres,12.5847,-81.7006,80.62,89,75,4.61,CO,2021-09-15 01:18:24
139,Mayo,38.8876,-76.5119,81.41,87,1,8.01,US,2021-09-15 01:18:24
140,Pangai,-19.8,-174.35,82.51,74,20,10.36,TO,2021-09-15 01:18:24
141,Gushi,34.6425,109.5843,74.62,63,0,5.95,CN,2021-09-15 01:18:25
142,Avarua,-21.2078,-159.775,78.85,78,75,17.27,CK,2021-09-15 01:18:25
143,Aden,12.7794,45.0367,85.5,85,57,7.7,YE,2021-09-15 01:18:25
144,Rosita,13.9268,-84.4032,75.04,95,44,0.85,NI,2021-09-15 01:18:25
145,Itarema,-2.9248,-39.9167,78.96,82,0,13.22,BR,2021-09-15 01:18:26
146,Waspan,14.7419,-83.9717,76.12,93,39,4.29,NI,2021-09-15 01:18:26
147,Saint-Leu,-21.15,55.2833,67.06,76,21,3.94,RE,2021-09-15 01:18:26
148,Wagar,16.1525,36.2032,78.98,72,97,15.12,SD,2021-09-15 01:18:26
149,Provideniya,64.3833,-173.3,44.71,65,90,8.95,RU,2021-09-15 01:18:27
150,Sorland,67.667,12.6934,47.95,66,2,7.18,NO,2021-09-15 01:18:27
151,Seydi,39.4816,62.9137,70.41,15,0,7.29,TM,2021-09-15 01:18:27
152,Esperance,-33.8667,121.9,62.64,57,91,19.17,AU,2021-09-15 01:18:28
153,Korla,41.7597,86.1469,70.68,29,92,6.8,CN,2021-09-15 01:18:28
154,Beringovskiy,63.05,179.3167,42.49,64,100,13.69,RU,2021-09-15 01:18:28
155,Vardo,70.3705,31.1107,42.94,74,100,9.75,NO,2021-09-15 01:18:28
156,Labuan,5.2767,115.2417,78.96,88,40,4.61,MY,2021-09-15 01:18:29
157,Mount Gambier,-37.8333,140.7667,52.72,56,100,6.29,AU,2021-09-15 01:18:29
158,Torbay,47.6666,-52.7314,53.76,90,90,10.36,CA,2021-09-15 01:18:29
159,Vernon,50.2581,-119.2691,58.6,86,100,3.44,CA,2021-09-15 01:18:29
160,Cuamba,-14.8031,36.5372,70.43,51,87,7.76,MZ,2021-09-15 01:18:30
161,Montoro,38.0241,-4.3834,67.98,85,11,1.68,ES,2021-09-15 01:18:30
162,Hopkinsville,36.8656,-87.4886,77.05,99,91,6.4,US,2021-09-15 01:17:13
163,Guerrero Negro,27.9769,-114.0611,74.08,69,0,17.63,MX,2021-09-15 01:18:30
164,Linkoping,58.4109,15.6216,54.01,88,90,0.0,SE,2021-09-15 01:18:31
165,East London,-33.0153,27.9116,63.25,69,100,20.4,ZA,2021-09-15 01:18:31
166,Solhan,38.9634,41.0293,57.97,47,0,1.48,TR,2021-09-15 01:18:31
167,Voi,-3.3945,38.563,69.04,77,95,9.66,KE,2021-09-15 01:18:31
168,Zyryanka,65.75,150.85,55.92,46,100,9.01,RU,2021-09-15 01:18:32
169,Bethel,41.3712,-73.414,71.96,85,1,6.91,US,2021-09-15 01:18:32
170,Dingle,10.9995,122.6711,81.99,82,97,6.44,PH,2021-09-15 01:18:32
171,Passa Quatro,-22.3903,-44.9667,73.74,36,76,2.19,BR,2021-09-15 01:18:33
172,Khromtau,50.2503,58.4347,60.3,54,84,16.24,KZ,2021-09-15 01:18:33
173,Vanavara,60.34,102.2797,42.51,77,98,5.57,RU,2021-09-15 01:18:33
174,Coihaique,-45.5752,-72.0662,44.55,81,75,5.75,CL,2021-09-15 01:18:13
175,Saint-Francois,46.4154,3.9054,65.48,100,90,9.22,FR,2021-09-15 01:18:34
176,Santa Vitoria Do Palmar,-33.5189,-53.3681,49.28,77,0,10.02,BR,2021-09-15 01:18:34
177,Tiznit,29.5833,-9.5,64.99,86,16,3.27,MA,2021-09-15 01:18:34
178,Kavieng,-2.5744,150.7967,82.04,79,36,15.55,PG,2021-09-15 01:18:34
179,Ashington,50.9331,-0.3909,61.83,98,39,9.08,GB,2021-09-15 01:18:35
180,Gagnoa,6.1293,-5.9437,71.6,100,100,3.04,CI,2021-09-15 01:18:35
181,Beyneu,45.3167,55.2,70.38,25,66,12.3,KZ,2021-09-15 01:18:35
182,Marsa Matruh,31.3525,27.2453,75.49,65,0,11.25,EG,2021-09-15 01:18:35
183,Port Alfred,-33.5906,26.891,62.06,86,100,13.6,ZA,2021-09-15 01:18:36
184,Cascas,-7.4833,-78.8167,67.46,67,70,1.63,PE,2021-09-15 01:18:36
185,Srednekolymsk,67.45,153.6833,55.67,52,100,5.1,RU,2021-09-15 01:18:36
186,Cehegin,38.0924,-1.7985,68.16,65,100,1.92,ES,2021-09-15 01:18:37
187,Padang,-0.9492,100.3543,81.07,72,84,2.28,ID,2021-09-15 01:18:37
188,Senneterre,48.3835,-77.2328,57.42,94,100,16.22,CA,2021-09-15 01:18:37
189,Sao Joao Da Barra,-21.6403,-41.0511,73.9,88,1,18.92,BR,2021-09-15 01:18:37
190,Te Anau,-45.4167,167.7167,45.28,78,4,1.1,NZ,2021-09-15 01:18:38
